EKO 4h of Bulgaria – Final,,,,,,,,,,
,,,,,,,,,,
22/10/2022 - 14:55,,,,,,,,,,
,,,,,,,,,,
17 - SÉLESTAT KART INDOOR,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
30,177.13,56.323,55.539,56.204,56.024,55.43,55.456,55.714,55.68,56.008
40,55.553,56.374,57.494,56.349,55.935,55.835,56.143,55.839,56.061,55.534
50,56.006,55.663,55.754,55.815,55.795,55.906,56.537,55.85,55.746,55.747
60,55.859,56.29,56.067,55.935,56.017,55.965,55.61,55.879,56.041,55.909
70,56.205,176.731,55.749,55.407,55.363,55.13,55.861,55.298,56.149,55.265
80,55.625,55.39,55.475,56.656,55.273,54.987,55.156,54.816,54.863,55.134
90,55.832,55.424,56.083,55.038,55.58,55.645,55.921,55.225,55.652,55.453
100,55.093,55.114,55.211,55.479,55.465,55.773,55.323,55.447,56.108,55.329
110,55.333,55.373,176.816,56.49,56.155,55.734,56.396,56.664,55.747,55.897
120,55.855,56.222,93.339,99.124,91.438,74.342,91.699,58.045,58.792,57.359
130,57.71,61.531,57.837,58.631,56.654,56.549,57.365,177.62,55.472,55.598
140,55.671,55.987,55.508,56.431,56.268,55.54,55.51,55.744,55.508,55.867
150,55.711,55.752,56.513,56.57,56.318,56.362,55.271,55.546,56.182,56.07
160,55.833,55.428,56.002,56.749,55.773,55.7,56.019,56.151,56.143,55.778
170,55.755,56.145,55.928,55.666,176.44,55.423,55.344,55.714,55.362,55.497
180,55.063,55.378,55.241,55.549,54.908,54.995,55.699,55.238,55.452,55.32
190,55.318,56.296,55.512,56.228,56.335,56.478,55.713,55.595,55.464,55.757
200,56.05,55.586,55.556,55.161,55.508,56.222,55.145,55.167,55.177,54.974
210,55.886,55.375,55.352,57.512,177.39,55.569,55.516,56.098,55.44,54.918
220,55.76,55.485,55.377,55.989,177.346,55.49,55.235,55.232,55.857,55.945
230,55.978,55.439,56.164,57.152,55.748,55.979,55.945,55.341,55.764,
,,,,,,,,,,
19 - DRS RT,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.065,57.682,56.337,55.995,56.824,56.073,57.332,55.941,56.039
10,55.849,56.5,56.212,55.813,56.006,56.624,56.216,56.191,56.594,56.019
20,55.768,56.062,55.722,55.921,56.118,55.427,55.911,60.332,56.591,56.975
30,56.354,56.025,57.06,57.001,57.047,56.189,176.622,55.526,55.55,56.204
40,55.878,55.321,55.416,55.697,55.565,55.779,55.465,55.615,55.537,55.639
50,56.054,55.709,55.677,55.747,55.775,55.673,55.612,55.715,55.473,56.192
60,56.165,56.118,55.72,55.722,56.058,56.192,55.937,176.544,56.998,56.412
70,57.01,55.839,55.942,55.515,56.89,55.623,55.534,56.286,56.393,55.938
80,55.897,55.948,55.784,56.074,55.777,55.697,55.765,55.437,55.361,55.636
90,55.756,176.455,56.583,55.657,55.446,55.399,55.402,55.395,55.373,55.912
100,55.658,55.817,55.62,55.469,55.63,55.637,55.462,55.442,55.367,55.482
110,55.721,177.066,56.039,55.522,56.468,57.17,56.277,55.452,56.792,56.172
120,55.533,106.163,94.098,88.903,78.143,101.154,58.965,56.625,57.174,55.827
130,55.487,55.878,56.187,55.609,56.009,56.023,55.92,55.658,55.995,56.242
140,175.303,55.585,55.749,55.68,56.337,55.845,55.648,55.671,56.132,55.551
150,55.644,56.076,55.443,55.333,55.202,55.302,55.295,55.314,56.288,55.333
160,55.748,55.292,56.9,55.739,55.74,54.966,55.565,55.216,55.712,55.378
170,176.594,55.725,56.437,56.442,56.65,55.716,55.918,56.281,56.046,57.151
180,55.885,55.944,56.072,55.69,55.981,56.817,56.184,56.213,56.183,56.303
190,55.512,55.83,56.075,55.769,55.895,55.924,55.782,173.696,55.961,57.011
200,55.758,55.764,55.434,55.42,55.739,55.376,55.094,56.676,55.126,55.265
